"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Apr., 2009"	"2009/04"	8563	Not Applicable	Not Applicable
	"May, 2009"	"2009/05"	8137	Not Applicable	Not Applicable
	"Jun., 2009"	"2009/06"	7746	Not Applicable	Not Applicable
	"Jul., 2009"	"2009/07"	8172	Not Applicable	Not Applicable
	"Aug., 2009"	"2009/08"	8188	Not Applicable	Not Applicable
	"Sep., 2009"	"2009/09"	8199	Not Applicable	Not Applicable
	"Oct., 2009"	"2009/10"	9513	Not Applicable	Not Applicable
	"Nov., 2009"	"2009/11"	9131	Not Applicable	Not Applicable
	"Dec., 2009"	"2009/12"	10281	Not Applicable	Not Applicable
	"Jan., 2010"	"2010/01"	11073	Not Applicable	Not Applicable
	"Feb., 2010"	"2010/02"	9799	Not Applicable	Not Applicable
	"Mar., 2010"	"2010/03"	10665	Not Applicable	Not Applicable
	"Apr., 2010"	"2010/04"	9463	Not Applicable	Not Applicable
	"May, 2010"	"2010/05"	9324	Not Applicable	Not Applicable
	"Jun., 2010"	"2010/06"	9008	Not Applicable	Not Applicable
	"Jul., 2010"	"2010/07"	9262	Not Applicable	Not Applicable
	"Aug., 2010"	"2010/08"	9127	Not Applicable	Not Applicable
	"Sep., 2010"	"2010/09"	9483	Not Applicable	Not Applicable
	"Oct., 2010"	"2010/10"	10401	Not Applicable	Not Applicable
	"Nov., 2010"	"2010/11"	10872	Not Applicable	Not Applicable
	"Dec., 2010"	"2010/12"	12344	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	13069	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	11711	Not Applicable	Not Applicable
	"Mar., 2011"	"2011/03"	12209	Not Applicable	Not Applicable
	"Apr., 2011"	"2011/04"	11009	Not Applicable	Not Applicable
	"May, 2011"	"2011/05"	10632	Not Applicable	Not Applicable
	"Jun., 2011"	"2011/06"	10089	Not Applicable	Not Applicable
	"Jul., 2011"	"2011/07"	10327	Not Applicable	Not Applicable
	"Aug., 2011"	"2011/08"	10501	Not Applicable	Not Applicable
	"Sep., 2011"	"2011/09"	10554	Not Applicable	Not Applicable
	"Oct., 2011"	"2011/10"	11552	Not Applicable	Not Applicable
	"Nov., 2011"	"2011/11"	11878	Not Applicable	Not Applicable
	"Dec., 2011"	"2011/12"	12418	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	13257	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	12068	Not Applicable	Not Applicable
	"Mar., 2012"	"2012/03"	12784	Not Applicable	Not Applicable
	"Apr., 2012"	"2012/04"	11874	Not Applicable	Not Applicable
	"May, 2012"	"2012/05"	11599	Not Applicable	Not Applicable
	"Jun., 2012"	"2012/06"	10924	Not Applicable	Not Applicable
	"Jul., 2012"	"2012/07"	11554	Not Applicable	Not Applicable
	"Aug., 2012"	"2012/08"	11641	Not Applicable	Not Applicable
	"Sep., 2012"	"2012/09"	11563	Not Applicable	Not Applicable
	"Oct., 2012"	"2012/10"	12943	Not Applicable	Not Applicable
	"Nov., 2012"	"2012/11"	13213	Not Applicable	Not Applicable
	"Dec., 2012"	"2012/12"	14497	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	17334	Not Applicable	Not Applicable
	"Feb., 2013"	"2013/02"	13773	Not Applicable	Not Applicable
	"Mar., 2013"	"2013/03"	14578	Not Applicable	Not Applicable
	"Apr., 2013"	"2013/04"	13202	Not Applicable	Not Applicable
	"May, 2013"	"2013/05"	12222	Not Applicable	Not Applicable
	"Jun., 2013"	"2013/06"	11205	Not Applicable	Not Applicable
	"Jul., 2013"	"2013/07"	11688	Not Applicable	Not Applicable
	"Aug., 2013"	"2013/08"	11573	Not Applicable	Not Applicable
	"Sep., 2013"	"2013/09"	11558	Not Applicable	Not Applicable
	"Oct., 2013"	"2013/10"	12551	Not Applicable	Not Applicable
	"Nov., 2013"	"2013/11"	12820	Not Applicable	Not Applicable
	"Dec., 2013"	"2013/12"	13911	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	14426	Not Applicable	Not Applicable
	"Feb., 2014"	"2014/02"	12744	Not Applicable	Not Applicable
	"Mar., 2014"	"2014/03"	13627	Not Applicable	Not Applicable
	"Apr., 2014"	"2014/04"	13065	Not Applicable	Not Applicable
	"May, 2014"	"2014/05"	12576	Not Applicable	Not Applicable
	"Jun., 2014"	"2014/06"	11663	Not Applicable	Not Applicable
	"Jul., 2014"	"2014/07"	12114	Not Applicable	Not Applicable
	"Aug., 2014"	"2014/08"	12252	Not Applicable	Not Applicable
	"Sep., 2014"	"2014/09"	11681	Not Applicable	Not Applicable
	"Oct., 2014"	"2014/10"	11629	Not Applicable	Not Applicable
	"Nov., 2014"	"2014/11"	12012	Not Applicable	Not Applicable
	"Dec., 2014"	"2014/12"	13259	Not Applicable	Not Applicable
	"Jan., 2015"	"2015/01"	15042	Not Applicable	Not Applicable
	"Feb., 2015"	"2015/02"	12587	Not Applicable	Not Applicable
	"Mar., 2015"	"2015/03"	12927	Not Applicable	Not Applicable
	"Apr., 2015"	"2015/04"	11238	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	10927	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	10196	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	10380	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	10261	Not Applicable	Not Applicable
	"Sep., 2015"	"2015/09"	9989	Not Applicable	Not Applicable
	"Oct., 2015"	"2015/10"	10866	Not Applicable	Not Applicable
	"Nov., 2015"	"2015/11"	10787	Not Applicable	Not Applicable
	"Dec., 2015"	"2015/12"	11456	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	12610	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	11504	Not Applicable	Not Applicable
	"Mar., 2016"	"2016/03"	11651	Not Applicable	Not Applicable
	"Apr., 2016"	"2016/04"	10997	Not Applicable	Not Applicable
	"May, 2016"	"2016/05"	10597	Not Applicable	Not Applicable
	"Jun., 2016"	"2016/06"	9860	Not Applicable	Not Applicable
	"Jul., 2016"	"2016/07"	10113	Not Applicable	Not Applicable
	"Aug., 2016"	"2016/08"	10153	Not Applicable	Not Applicable
	"Sep., 2016"	"2016/09"	10317	Not Applicable	Not Applicable
	"Oct., 2016"	"2016/10"	11111	Not Applicable	Not Applicable
	"Nov., 2016"	"2016/11"	11092	Not Applicable	Not Applicable
	"Dec., 2016"	"2016/12"	12599	Not Applicable	Not Applicable
	"Jan., 2017"	"2017/01"	13532	Not Applicable	Not Applicable
	"Feb., 2017"	"2017/02"	11709	Not Applicable	Not Applicable
	"Mar., 2017"	"2017/03"	12694	Not Applicable	Not Applicable
	"Apr., 2017"	"2017/04"	11215	Not Applicable	Not Applicable
	"May, 2017"	"2017/05"	10659	Not Applicable	Not Applicable
	"Jun., 2017"	"2017/06"	9924	Not Applicable	Not Applicable
	"Jul., 2017"	"2017/07"	10178	Not Applicable	Not Applicable
	"Aug., 2017"	"2017/08"	10279	Not Applicable	Not Applicable
	"Sep., 2017"	"2017/09"	10256	Not Applicable	Not Applicable
	"Oct., 2017"	"2017/10"	10902	Not Applicable	Not Applicable
	"Nov., 2017"	"2017/11"	11524	Not Applicable	Not Applicable
	"Dec., 2017"	"2017/12"	12900	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	14840	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	11568	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	11982	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	11300	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	10488	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	9781	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	10283	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	10210	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	10087	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	11076	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	11525	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	12286	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	12448	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	11178	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	12198	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	10943	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	10661	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	10249	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	10331	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	10202	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	10271	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	11460	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	11672	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	12346	Not Applicable	Not Applicable
	"Jan., 2020 "	"2020/01"	12593	Not Applicable	Not Applicable
	"Feb., 2020 "	"2020/02"	11496	Not Applicable	Not Applicable
	"Mar., 2020 "	"2020/03"	12521	Not Applicable	Not Applicable
	"Apr., 2020 "	"2020/04"	14360	Not Applicable	Not Applicable
	"May, 2020 "	"2020/05"	12243	Not Applicable	Not Applicable
	"Jun., 2020 "	"2020/06"	10861	Not Applicable	Not Applicable
	"Jul., 2020 "	"2020/07"	11984	Not Applicable	Not Applicable
	"Aug., 2020 "	"2020/08"	11822	Not Applicable	Not Applicable
	"Sep., 2020 "	"2020/09"	11445	Not Applicable	Not Applicable
	"Oct., 2020 "	"2020/10"	12179	Not Applicable	Not Applicable
	"Nov., 2020 "	"2020/11"	12865	Not Applicable	Not Applicable
	"Dec., 2020 "	"2020/12"	14063	Not Applicable	Not Applicable
"Total"			2060889	Not Applicable	Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"UCD - ICD-10 Codes: F01-F99 (Mental and behavioural disorders)"
"Year/Month: 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Mar 6, 2024 10:03:53 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Mar 6, 2024 10:03:53 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
